group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Evenshroud + Protectors Vow + Sunfire Cape,198,0.004481665912177456,3.005,3.453,-0.1,-0.548,-0.273,0.0004,0.0789,0.3131,0.4899,0.7677,1.973,-3.9,0.0001,True
pepite,Adaptive Helm + Protectors Vow + Spirit Visage,168,0.003802625622453599,2.976,3.461,-0.092,-0.577,-0.3,0.0004,0.1207,0.256,0.4821,0.8095,1.826,-4.09,4e-05,True
pepite,Evenshroud + Gargoyle Stoneplate + Sunfire Cape,219,0.004956994114984156,3.151,3.473,-0.08,-0.402,-0.158,0.0004,0.06,0.2146,0.4521,0.7489,1.841,-3.23,0.00125,True
pepite,Adaptive Helm + Protectors Vow + Warmogs Armor,150,0.0033952014486192846,3.033,3.478,-0.075,-0.52,-0.223,0.0003,0.0845,0.26,0.48,0.7733,1.849,-3.44,0.00059,True
pepite,Evenshroud + Spirit Visage + Sunfire Cape,181,0.00409687641466727,3.155,3.485,-0.068,-0.398,-0.147,0.0003,0.1123,0.1934,0.4088,0.8011,1.72,-3.11,0.00189,True
pepite,Adaptive Helm + Protectors Vow + Sunfire Cape,111,0.0025124490719782705,2.982,3.489,-0.064,-0.571,-0.272,0.0002,0.149,0.2252,0.4144,0.8378,1.605,-3.74,0.00018,True
,Adaptive Helm + Protectors Vow + Protectors Vow,94,0.002127659574468085,2.904,3.491,-0.062,-0.649,-0.277,0.0001,0.1303,0.2979,0.4894,0.8191,1.84,-3.42,0.00064,True
,Bramble Vest + Evenshroud + Sunfire Cape,59,0.0013354459031235852,2.559,3.491,-0.062,-0.994,-0.629,0.0001,0.1756,0.2712,0.5932,0.8644,1.429,-5.33,0.0,True
,Evenshroud + Protectors Vow + Spirit Visage,149,0.0033725667722951562,3.148,3.495,-0.059,-0.405,-0.106,0.0002,0.0696,0.1946,0.4698,0.7584,1.862,-2.65,0.00798,True
,Protectors Vow + Protectors Vow + Warmogs Armor,106,0.002399275690357628,3.019,3.496,-0.057,-0.534,-0.131,0.0001,0.0565,0.3396,0.5377,0.7453,2.115,-2.6,0.00936,True
,Adaptive Helm + Adaptive Helm + Protectors Vow,70,0.0015844273426889996,2.771,3.496,-0.057,-0.782,-0.393,0.0001,0.154,0.2429,0.5571,0.8429,1.658,-3.94,8e-05,True
,Adaptive Helm + Evenshroud + Sunfire Cape,64,0.0014486192847442281,2.703,3.496,-0.057,-0.85,-0.453,0.0001,0.1706,0.2969,0.5625,0.8594,1.617,-4.2,3e-05,True
,Protectors Vow + Protectors Vow + Protectors Vow,61,0.0013807152557718425,2.689,3.497,-0.056,-0.865,-0.413,0.0001,0.1472,0.3607,0.5574,0.8361,1.797,-3.75,0.00017,True
,Evenshroud + Protectors Vow + Steadfast Heart,75,0.0016976007243096423,2.907,3.503,-0.051,-0.646,-0.251,0.0001,0.1378,0.2533,0.4667,0.8267,1.745,-3.21,0.00135,True
,Evenshroud + Spirit Visage + Warmogs Armor,107,0.0024219103666817563,3.093,3.503,-0.05,-0.46,-0.13,0.0001,0.1149,0.2056,0.4579,0.8037,1.738,-2.73,0.00629,True
,Ionic Spark + Protectors Vow + Sunfire Cape,56,0.0012675418741511996,2.75,3.505,-0.048,-0.803,-0.317,0.0001,0.1148,0.3393,0.5714,0.8036,1.854,-3.24,0.0012,True
,Crownguard + Evenshroud + Spirit Visage,80,0.0018107741059302852,2.987,3.506,-0.047,-0.566,-0.186,0.0001,0.1237,0.25,0.4375,0.8125,1.728,-2.92,0.00346,True
,Bramble Vest + Protectors Vow + Sunfire Cape,67,0.0015165233137166138,2.91,3.508,-0.045,-0.643,-0.223,0.0001,0.1022,0.209,0.5821,0.791,1.751,-3.0,0.00269,True
,Crownguard + Protectors Vow + Sunfire Cape,81,0.0018334087822544137,3.037,3.51,-0.043,-0.516,-0.123,0.0001,0.1137,0.2222,0.4444,0.8025,1.802,-2.58,0.01001,True
,Crownguard + Evenshroud + Protectors Vow,79,0.0017881394296061566,3.051,3.512,-0.041,-0.503,-0.102,0.0001,0.058,0.2785,0.4684,0.7468,1.813,-2.46,0.01388,True
,Adaptive Helm + Spirit Visage + Warmogs Armor,88,0.001991851516523314,3.114,3.513,-0.04,-0.44,-0.066,0.0001,0.0839,0.2159,0.4545,0.7727,1.787,-2.31,0.02116,True
,Crownguard + Spirit Visage + Steadfast Heart,76,0.001720235400633771,3.053,3.514,-0.04,-0.501,-0.067,0.0001,0.0743,0.2632,0.4868,0.7632,1.926,-2.26,0.02357,True
,Adaptive Helm + Evenshroud + Protectors Vow,67,0.0015165233137166138,2.985,3.513,-0.04,-0.568,-0.141,0.0001,0.1918,0.194,0.4776,0.8806,1.783,-2.61,0.00917,True
,Protectors Vow + Protectors Vow + Sunfire Cape,55,0.001244907197827071,2.873,3.513,-0.04,-0.68,-0.197,0.0,0.1475,0.2909,0.5273,0.8364,1.83,-2.76,0.00585,True
,Protectors Vow + Sunfire Cape + Warmogs Armor,172,0.0038931643277501132,3.32,3.515,-0.038,-0.233,0.0,0.0001,0.0728,0.1686,0.3605,0.7616,1.67,-1.83,0.0675,False
,Evenshroud + Sunfire Cape + Warmogs Armor,154,0.003485740153915799,3.299,3.515,-0.038,-0.254,0.0,0.0001,0.0644,0.1753,0.4351,0.7532,1.924,-1.64,0.10145,False
,Adaptive Helm + Crownguard + Protectors Vow,113,0.002557718424626528,3.221,3.516,-0.038,-0.332,0.0,0.0001,0.0722,0.2035,0.4779,0.7611,1.936,-1.82,0.06874,False
,Spirit Visage + Sunfire Cape + Warmogs Armor,218,0.004934359438660027,3.367,3.516,-0.037,-0.186,0.0,0.0002,0.0635,0.1376,0.3761,0.7523,1.78,-1.54,0.12363,False
,Dragons Claw + Evenshroud + Protectors Vow,40,0.0009053870529651426,2.7,3.516,-0.037,-0.853,-0.228,0.0,0.1362,0.325,0.65,0.825,2.015,-2.68,0.00743,True
,Bramble Vest + Crownguard + Gargoyle Stoneplate,82,0.0018560434585785423,3.134,3.518,-0.036,-0.419,-0.001,0.0001,0.0673,0.2195,0.4756,0.7561,1.93,-1.96,0.04956,False
,Adaptive Helm + Spirit Visage + Steadfast Heart,66,0.0014938886373924852,3.03,3.517,-0.036,-0.523,-0.072,0.0001,0.0536,0.2273,0.5303,0.7424,1.867,-2.27,0.02298,True
,Crownguard + Protectors Vow + Spirit Visage,152,0.003440470801267542,3.316,3.518,-0.035,-0.237,0.0,0.0001,0.0349,0.2105,0.4474,0.7237,1.982,-1.47,0.14041,False
,Crownguard + Evenshroud + Sunfire Cape,64,0.0014486192847442281,3.031,3.518,-0.035,-0.522,-0.049,0.0001,0.0924,0.2656,0.4688,0.7812,1.928,-2.16,0.03048,False
populaire,Crownguard + Gargoyle Stoneplate + Warmogs Armor,985,0.022295156179266636,3.489,3.52,-0.034,-0.064,0.0,0.0007,0.0208,0.1604,0.3797,0.7096,1.93,-1.03,0.3051,False
,Evenshroud + Protectors Vow + Warmogs Armor,118,0.0026708918062471705,3.263,3.519,-0.034,-0.29,0.0,0.0001,0.04,0.2627,0.4407,0.7288,1.972,-1.6,0.1101,False
,Crownguard + Protectors Vow + Protectors Vow,51,0.0011543684925305567,2.941,3.52,-0.033,-0.612,-0.03,0.0,0.0367,0.3922,0.549,0.7255,2.118,-2.06,0.03919,False
,Adaptive Helm + Dragons Claw + Spirit Visage,46,0.001041195110909914,2.891,3.52,-0.033,-0.662,-0.102,0.0,0.0938,0.3261,0.5,0.7826,1.936,-2.32,0.0205,True
,Crownguard + Protectors Vow + Warmogs Armor,183,0.004142145767315528,3.366,3.521,-0.032,-0.187,0.0,0.0001,0.0325,0.1967,0.4098,0.7213,1.956,-1.29,0.19689,False
,Protectors Vow + Protectors Vow + Spirit Visage,89,0.0020144861928474422,3.202,3.521,-0.032,-0.351,0.0,0.0001,0.0752,0.191,0.4045,0.764,1.781,-1.86,0.06342,False
,Emblem Sprykin + Gargoyle Stoneplate + Protectors Vow,49,0.0011090991398822996,2.959,3.522,-0.031,-0.594,-0.072,0.0,0.1479,0.2653,0.4694,0.8367,1.862,-2.23,0.02566,True
,Evenshroud + Steadfast Heart + Warmogs Armor,50,0.0011317338162064282,3.0,3.524,-0.03,-0.553,-0.116,0.0,0.1112,0.18,0.44,0.8,1.575,-2.48,0.01308,True
,Emblem Juggernaut + Gargoyle Stoneplate + Spirit Visage,48,0.001086464463558171,2.979,3.524,-0.03,-0.574,-0.018,0.0,0.0195,0.3542,0.5208,0.7083,1.963,-2.02,0.04291,False
,Adaptive Helm + Dragons Claw + Protectors Vow,57,0.0012901765504753282,3.07,3.524,-0.029,-0.483,0.0,0.0,0.0831,0.2632,0.4912,0.7719,1.999,-1.82,0.06828,False
,Adaptive Helm + Bramble Vest + Protectors Vow,41,0.0009280217292892711,2.902,3.524,-0.029,-0.651,-0.183,0.0,0.1404,0.1951,0.4878,0.8293,1.527,-2.73,0.0064,True
,Dragons Claw + Evenshroud + Spirit Visage,58,0.0013128112267994567,3.103,3.525,-0.028,-0.45,0.0,0.0,0.0353,0.2241,0.4483,0.7241,1.768,-1.94,0.05298,False
,Adaptive Helm + Spirit Visage + Sunfire Cape,78,0.001765504753282028,3.231,3.527,-0.026,-0.322,0.0,0.0,0.0676,0.1923,0.3974,0.7564,1.804,-1.58,0.11489,False
,Adaptive Helm + Evenshroud + Spirit Visage,49,0.0011090991398822996,3.061,3.527,-0.026,-0.492,-0.007,0.0,0.1479,0.2653,0.3673,0.8367,1.731,-1.99,0.04682,False
,Adaptive Helm + Protectors Vow + Steadfast Heart,58,0.0013128112267994567,3.155,3.529,-0.025,-0.398,0.0,0.0,0.0181,0.2931,0.4828,0.7069,2.041,-1.48,0.13778,False
,Crownguard + Steadfast Heart + Sunfire Cape,49,0.0011090991398822996,3.082,3.528,-0.025,-0.472,0.0,0.0,0.1071,0.2449,0.4082,0.7959,1.839,-1.79,0.07284,False
,Bramble Vest + Evenshroud + Protectors Vow,45,0.0010185604345857855,3.044,3.528,-0.025,-0.509,0.0,0.0,0.0667,0.2444,0.4889,0.7556,1.751,-1.95,0.05141,False
,Adaptive Helm + Crownguard + Evenshroud,44,0.000995925758261657,3.023,3.528,-0.025,-0.53,0.0,0.0,0.1294,0.25,0.5,0.8182,1.889,-1.86,0.06264,False
,Bramble Vest + Crownguard + Spirit Visage,40,0.0009053870529651426,2.975,3.528,-0.025,-0.578,0.0,0.0,0.0612,0.25,0.525,0.75,1.877,-1.95,0.05157,False
,Protectors Vow + Spirit Visage + Steadfast Heart,105,0.0023766410140334993,3.324,3.529,-0.024,-0.229,0.0,0.0001,0.0921,0.1429,0.3714,0.781,1.759,-1.33,0.18228,False
,Adaptive Helm + Dragons Claw + Warmogs Armor,50,0.0011317338162064282,3.1,3.529,-0.024,-0.453,0.0,0.0,0.0712,0.22,0.44,0.76,1.746,-1.83,0.06674,False
,Protectors Vow + Protectors Vow + Steadfast Heart,44,0.000995925758261657,3.045,3.529,-0.024,-0.508,0.0,0.0,0.1066,0.1818,0.5227,0.7955,1.808,-1.86,0.06274,False
,Dragons Claw + Evenshroud + Sunfire Cape,80,0.0018107741059302852,3.275,3.53,-0.023,-0.278,0.0,0.0,0.1362,0.125,0.375,0.825,1.658,-1.5,0.13401,False
,Adaptive Helm + Crownguard + Sunfire Cape,54,0.0012222725215029426,3.148,3.53,-0.023,-0.405,0.0,0.0,0.0519,0.1667,0.4444,0.7407,1.603,-1.85,0.06367,False
,Crownguard + Protectors Vow + Steadfast Heart,58,0.0013128112267994567,3.19,3.531,-0.022,-0.363,0.0,0.0,0.0698,0.1724,0.431,0.7586,1.756,-1.57,0.11529,False
,Adaptive Helm + Steadfast Heart + Sunfire Cape,42,0.0009506564056133998,3.071,3.531,-0.022,-0.482,0.0,0.0,0.1445,0.2381,0.4048,0.8333,1.668,-1.87,0.06135,False
,Dragons Claw + Protectors Vow + Steadfast Heart,51,0.0011543684925305567,3.176,3.533,-0.021,-0.377,0.0,0.0,0.0759,0.2745,0.3922,0.7647,1.896,-1.42,0.15631,False
,Crownguard + Sunfire Cape + Warmogs Armor,88,0.001991851516523314,3.33,3.533,-0.02,-0.224,0.0,0.0,0.0157,0.2614,0.3864,0.7045,1.935,-1.08,0.27882,False
,Protectors Vow + Steadfast Heart + Sunfire Cape,91,0.0020597555454956993,3.352,3.534,-0.019,-0.201,0.0,0.0,0.0694,0.2088,0.4176,0.7582,1.997,-0.96,0.33616,False
,Adaptive Helm + Crownguard + Spirit Visage,70,0.0015844273426889996,3.3,3.535,-0.019,-0.253,0.0,0.0,0.0826,0.1714,0.4143,0.7714,1.988,-1.06,0.28712,False
,Ionic Spark + Spirit Visage + Warmogs Armor,54,0.0012222725215029426,3.222,3.534,-0.019,-0.331,0.0,0.0,-0.0036,0.2593,0.3889,0.6852,1.863,-1.3,0.19199,False
,Bramble Vest + Spirit Visage + Steadfast Heart,54,0.0012222725215029426,3.241,3.535,-0.018,-0.312,0.0,0.0,0.0704,0.1667,0.4074,0.7593,1.699,-1.35,0.17698,False
,Crownguard + Dragons Claw + Protectors Vow,52,0.0011770031688546855,3.231,3.535,-0.018,-0.322,0.0,0.0,0.0035,0.1923,0.4615,0.6923,1.825,-1.27,0.20309,False
,Bramble Vest + Protectors Vow + Warmogs Armor,95,0.0021502942507922135,3.379,3.536,-0.017,-0.174,0.0,0.0,0.0375,0.1474,0.4,0.7263,1.813,-0.94,0.3497,False
,Dragons Claw + Evenshroud + Warmogs Armor,44,0.000995925758261657,3.205,3.537,-0.017,-0.349,0.0,0.0,0.1066,0.2045,0.4545,0.7955,1.972,-1.17,0.24127,False
,Crownguard + Spirit Visage + Sunfire Cape,86,0.0019465821638750566,3.372,3.537,-0.016,-0.181,0.0,0.0,0.0089,0.2093,0.4535,0.6977,2.052,-0.82,0.41363,False
,Evenshroud + Steadfast Heart + Sunfire Cape,72,0.0016296966953372567,3.347,3.538,-0.016,-0.206,0.0,0.0,0.089,0.1944,0.2917,0.7778,1.676,-1.04,0.29779,False
,Bramble Vest + Protectors Vow + Spirit Visage,101,0.002286102308736985,3.406,3.538,-0.015,-0.147,0.0,0.0,0.0142,0.1881,0.3762,0.703,1.905,-0.78,0.43785,False
,Adaptive Helm + Bramble Vest + Spirit Visage,51,0.0011543684925305567,3.275,3.538,-0.015,-0.279,0.0,0.0,0.0171,0.1961,0.4706,0.7059,2.02,-0.98,0.32492,False
,Crownguard + Evenshroud + Warmogs Armor,51,0.0011543684925305567,3.275,3.538,-0.015,-0.279,0.0,0.0,0.0759,0.1765,0.3529,0.7647,1.658,-1.2,0.23039,False
,Bramble Vest + Gargoyle Stoneplate + Protectors Vow,126,0.002851969216840199,3.444,3.54,-0.014,-0.109,0.0,0.0,0.0017,0.2063,0.4127,0.6905,1.97,-0.62,0.5363,False
